"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","156.900","157.125","157.310","156.500","","-0.06%"
"09/21/2023","156.990","156.965","157.350","156.330","","0.09%"
"09/20/2023","156.850","157.135","158.115","156.815","","-0.06%"
"09/19/2023","156.950","157.155","157.780","156.820","","-0.09%"
"09/18/2023","157.090","156.640","157.340","156.390","","0.43%"
"09/15/2023","156.420","156.180","157.025","156.085","","0.20%"
"09/14/2023","156.100","157.395","157.745","156.065","","-0.74%"
"09/13/2023","157.270","157.600","157.835","157.085","","-0.13%"
"09/12/2023","157.480","157.395","157.770","156.775","","0.15%"
"09/11/2023","157.240","156.715","157.525","156.600","","0.56%"
"09/08/2023","156.370","156.385","157.140","156.120","","0.04%"
"09/07/2023","156.310","156.655","156.750","156.180","","-0.16%"
"09/06/2023","156.560","156.485","157.040","156.310","","0.07%"
"09/05/2023","156.450","157.405","157.460","156.260","","-0.49%"
"09/04/2023","157.220","157.030","157.570","156.940","","0.24%"
"09/01/2023","156.850","157.720","158.540","156.935","","-0.49%"
"08/31/2023","157.630","158.865","159.075","157.640","","-0.69%"
"08/30/2023","158.730","158.080","159.160","157.720","","0.49%"
"08/29/2023","157.950","157.020","158.270","156.650","","0.64%"
"08/28/2023","156.950","156.615","157.110","156.500","","0.29%"
"08/25/2023","156.490","156.585","157.220","155.990","","0.02%"
"08/24/2023","156.460","157.240","157.450","156.500","","-0.39%"
"08/23/2023","157.080","156.700","157.360","156.290","","0.35%"
"08/22/2023","156.530","157.295","157.985","156.480","","-0.40%"
"08/21/2023","157.160","156.970","157.615","156.705","","0.29%"
"08/18/2023","156.700","156.885","157.210","156.540","","-0.04%"
"08/17/2023","156.760","156.670","157.445","156.395","","0.10%"
"08/16/2023","156.600","156.950","157.525","156.595","","-0.13%"
"08/15/2023","156.800","156.720","157.620","156.630","","0.14%"
"08/14/2023","156.580","157.285","157.510","156.390","","-0.30%"
"08/11/2023","157.050","157.690","158.080","157.135","","-0.32%"
"08/10/2023","157.550","157.490","158.900","157.370","","0.13%"
"08/09/2023","157.350","157.055","157.795","156.990","","0.27%"
"08/08/2023","156.920","157.555","157.705","156.605","","-0.35%"
"08/07/2023","157.470","157.560","157.700","156.840","","0.09%"
"08/04/2023","157.330","156.310","157.910","156.260","","0.74%"
"08/03/2023","156.170","156.130","156.630","155.845","","0.11%"
"08/02/2023","156.000","156.730","157.260","155.850","","-0.38%"
"08/01/2023","156.600","156.790","156.915","156.145","","-0.06%"
"07/31/2023","156.690","156.970","157.530","156.510","","-0.03%"
"07/28/2023","156.740","156.270","157.325","155.775","","0.42%"
"07/27/2023","156.090","157.630","158.715","156.090","","-0.92%"
"07/26/2023","157.540","157.120","158.005","156.900","","0.34%"
"07/25/2023","157.010","157.175","157.535","156.655","","-0.01%"
"07/24/2023","157.030","157.840","158.230","157.050","","-0.39%"
"07/21/2023","157.640","157.870","158.100","157.560","","-0.03%"
"07/20/2023","157.680","158.760","159.175","157.655","","-0.59%"
"07/19/2023","158.620","158.970","159.275","158.395","","-0.14%"
"07/18/2023","158.850","159.045","159.615","158.715","","-0.06%"
"07/17/2023","158.950","158.920","159.290","158.575","","0.16%"
"07/14/2023","158.690","158.740","159.065","158.270","","0.06%"
"07/13/2023","158.600","157.170","158.770","157.125","","1.01%"
"07/12/2023","157.020","155.440","157.315","155.370","","1.11%"
"07/11/2023","155.290","155.220","155.650","154.930","","0.13%"
"07/10/2023","155.090","154.635","155.245","154.170","","0.40%"
"07/07/2023","154.470","153.460","154.685","153.060","","0.74%"
"07/06/2023","153.340","152.810","153.650","152.540","","0.43%"
"07/05/2023","152.690","153.115","153.590","152.775","","-0.20%"
"07/04/2023","152.990","153.530","153.610","153.070","","-0.26%"
"07/03/2023","153.390","153.400","153.850","152.830","","0.07%"
"06/30/2023","153.290","152.640","153.710","152.285","","0.50%"
