"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2019","129.675","130.297","130.473","129.538","10.74K","-0.48%"
"01/07/2019","130.297","129.910","130.374","129.515","10.31K","0.31%"
"01/04/2019","129.889","129.114","130.068","128.762","0.00K","0.62%"
"01/03/2019","129.094","128.823","129.273","127.122","11.72K","0.17%"
"01/02/2019","128.869","129.841","130.301","128.452","9.81K","-0.83%"
"01/01/2019","129.943","130.040","130.075","129.668","6.79K","-0.06%"
"12/31/2018","130.019","129.235","130.585","129.095","","0.41%"
"12/28/2018","129.489","128.721","129.530","128.676","","0.60%"
"12/27/2018","128.716","128.662","129.069","128.420","","0.03%"
"12/26/2018","128.677","128.963","129.436","128.607","","-0.32%"
"12/25/2018","129.085","129.472","130.006","128.861","","-0.30%"
"12/24/2018","129.467","128.734","129.665","128.505","","0.73%"
"12/21/2018","128.526","128.357","129.332","128.137","","0.14%"
"12/20/2018","128.347","128.501","128.944","128.012","","-0.12%"
"12/19/2018","128.496","129.500","129.907","128.397","","-0.76%"
"12/18/2018","129.480","129.396","130.183","129.179","","0.04%"
"12/17/2018","129.427","129.058","129.743","128.805","","0.34%"
"12/14/2018","128.986","129.661","129.866","128.489","","-0.53%"
"12/13/2018","129.676","129.726","130.270","129.179","","-0.02%"
"12/12/2018","129.700","128.169","130.152","127.827","","1.18%"
"12/11/2018","128.189","128.688","129.702","128.102","","-0.38%"
"12/10/2018","128.677","130.345","130.777","128.129","","-1.28%"
"12/07/2018","130.340","131.174","131.456","130.150","","-0.63%"
"12/06/2018","131.169","130.768","131.405","130.188","","0.30%"
"12/05/2018","130.773","130.548","131.318","129.916","","0.20%"
"12/04/2018","130.507","130.681","131.877","129.881","","-0.13%"
"12/03/2018","130.676","130.941","131.723","130.414","","-0.12%"
"11/30/2018","130.828","131.246","131.308","130.581","","-0.34%"
"11/29/2018","131.272","131.585","131.862","130.708","","-0.24%"
"11/28/2018","131.590","130.965","131.826","130.480","","0.45%"
"11/27/2018","131.001","131.554","131.564","130.455","","-0.42%"
"11/26/2018","131.554","131.748","131.836","131.090","","0.16%"
"11/23/2018","131.344","132.000","132.056","131.103","","-0.50%"
"11/22/2018","132.000","130.831","132.388","130.693","","0.89%"
"11/21/2018","130.842","131.589","131.865","130.647","","-0.57%"
"11/20/2018","131.589","132.119","132.360","131.460","","-0.39%"
"11/19/2018","132.108","132.005","132.731","131.597","","0.00%"
"11/16/2018","132.113","131.812","132.827","131.668","","0.20%"
"11/15/2018","131.848","133.604","134.416","131.312","","-1.31%"
"11/14/2018","133.604","133.368","134.385","132.439","","0.20%"
"11/13/2018","133.332","131.638","134.020","131.546","","1.29%"
"11/12/2018","131.638","132.451","132.669","131.258","","-0.74%"
"11/09/2018","132.620","133.097","133.432","132.426","","-0.36%"
"11/08/2018","133.097","133.572","133.943","132.923","","-0.34%"
